shop id,name,seller_name,contact_no,password,address,rating,product_category
28,Robert Half International Inc.,Harrietta,990-852-0893,NJrQ9eBXG,144 Johnson Way,3,7
29,Ossen Innovation Co. Ltd.,Norah,118-249-4085,jdyeBcGS,9710 Manley Court,3,6
30,Pro-Dex Inc.,Fredric,949-151-0875,0m17Rh2mbC,39215 Surrey Hill,3,3
31,Dun & Bradstreet Corporation (The),Janith,102-659-5906,lczOKPEpQE9,16698 Old Gate Place,3,5
32,United Bancorp Inc.,Fran,302-804-0351,t2TSTfC,095 Tennessee Place,4,5
33,Suncor Energy  Inc.,Robin,564-719-4482,mi6wTOCCb,57169 Sherman Crossing,3,7
34,CMS Energy Corporation,Coleman,100-318-8386,7nRg80GdN,6755 Fieldstone Park,2,7
35,MINDBODY Inc.,Graeme,842-560-5720,VuTxERke2,4321 Oak Avenue,2,1
36,John Hancock Tax-Advantaged Global Shareholder Yield Fund,Thayne,320-563-0173,c8vkCqaBOf,36768 Rowland Hill,4,2
37,PowerShares BuyBack Achievers Portfolio,Ruttger,141-322-6445,CYDqoS,1448 Katie Avenue,5,3
38,ChromaDex Corporation,Belicia,342-780-7999,xioF6WtG,83415 Pearson Trail,3,4
39,Hersha Hospitality Trust,Saloma,404-601-8383,ptQwOxe,4 Hagan Alley,3,1
40,Delta Air Lines Inc.,Chane,465-489-4925,1UMwAK,5 Portage Alley,2,7
41,Templeton Global Income Fund Inc.,Merissa,964-520-9002,5CDEOxIFCr2W,635 Banding Circle,3,7
42,China Natural Resources Inc.,Jenni,757-304-0388,mu2TRPbfQum,6 Summerview Alley,5,3
43,Belmond Ltd.,Bale,965-147-4719,BV668Sl0,05 Judy Avenue,5,5
44,Credit Suisse Group,Trent,618-692-5829,t5UBuQYM5Lke,89 Hagan Junction,1,7
45,Ovid Therapeutics Inc.,Celestine,510-467-1730,qR7M90,8413 Schlimgen Parkway,3,3
46,Omega Protein Corporation,Daryl,531-753-2637,CTxh3QILwQ,202 Evergreen Road,5,7
47,First Community Financial Partners Inc.,Ora,468-996-7770,y7zlSao0,8113 Lawn Road,2,2
48,Wins Finance Holdings Inc.,Shamus,845-210-9637,QSuMY86,72421 Commercial Parkway,5,7
49,iPath US Treasury Long Bond Bull ETN,Corey,530-320-8937,plBtEabrT1,6 Tennyson Park,4,3
50,Quidel Corporation,Modestine,268-647-5898,tHVKAOEu,44 Dexter Crossing,3,2
51,Autobytel Inc.,Vickie,194-965-8577,eM7DcSKpPiM,14547 Amoth Crossing,4,1
52,Just Energy Group Inc.,Danice,159-909-3579,lGuli14Cj,700 Novick Way,5,2
53,Veracyte Inc.,Geri,580-380-8404,BSFFPhPA,274 Mariners Cove Trail,2,5
54,EXFO Inc,Fanni,738-225-4094,mcy72wsX8B,30986 Golf View Hill,3,1
55,Internap Corporation,Teodorico,366-407-9044,WZu68u,4587 Canary Park,2,2
56,CHS Inc,Elfreda,985-504-6068,I6TtPF,1 Anzinger Park,4,4
57,Four Corners Property Trust Inc.,Noami,914-233-2850,poEPmPneia9g,79 Blackbird Center,2,2
58,Innophos Holdings Inc.,Stinky,669-133-5932,AqtB9mV1JJr,6634 Knutson Junction,2,5
59,Truett-Hurst Inc.,Julianna,639-731-8500,lR3tCceaS5z,916 Morning Road,5,3
60,Blackrock MuniHoldings New York Quality Fund Inc.,Ancell,188-992-4671,tISCK9xO,8 Crest Line Alley,2,7
61,Middlesex Water Company,Ailyn,923-491-1140,FNmGwlhF,3828 Waxwing Avenue,2,4
62,Murphy Oil Corporation,Bastian,727-957-4739,vU6l3e6,7248 Pankratz Parkway,5,2
63,First Trust Brazil AlphaDEX Fund,Robenia,234-303-8148,U016Txj8rbW6,2 Bunting Drive,3,5
64,MRV Communications Inc.,Kandace,884-675-9535,tqVfnqJ,8 Westridge Plaza,2,7
65,Hercules Capital Inc.,Andromache,674-864-7937,iGuVCr,2 Mayfield Pass,4,4
66,T. Rowe Price Group Inc.,Nels,901-989-1618,LygDsIzl8ezx,7145 Kings Court,3,4
67,Liberty Expedia Holdings Inc.,Joelle,742-503-5024,U7APyyjWcA9,1003 Tony Pass,2,7
68,Perceptron Inc.,Ansley,247-730-5947,erBeoxD,69 Chive Way,1,1
69,Span-America Medical Systems Inc.,Beaufort,982-950-7136,6LaZ9D5,4 Cambridge Circle,2,1
70,PartnerRe Ltd.,Raffarty,963-780-2665,pVyFVw0D8jDV,5371 Lake View Place,2,1
71,T. Rowe Price Group Inc.,Perice,282-576-7455,Q21MZV,1 Vera Plaza,3,3
72,AAR Corp.,Nadine,215-181-8159,HvgGwJl8K,9342 Pankratz Drive,5,5
73,Michael Kors Holdings Limited,Dieter,650-201-5174,Gn73nvwbjQd,95 Dottie Lane,4,7
74,Southwest Airlines Company,Lorinda,881-100-5156,JiyIHjDWDv0,36 Amoth Point,2,2
75,Hyster-Yale Materials Handling Inc.,Chrysa,757-289-4830,eJtdW6Hp,58 Lakewood Avenue,5,1
76,ICON plc,Dan,868-391-7390,Jfko10sJQE,2402 Paget Road,2,7
77,Nuveen Connecticut Quality Municipal Income Fund,Moira,389-465-8671,PE0uTsvPEN,9 Porter Hill,2,2
78,Aptevo Therapeutics Inc.,Glen,569-516-8464,obZIpZ,6 Buena Vista Street,3,2
79,Kaiser Aluminum Corporation,Laurice,251-168-7022,S0KMrrarL,7366 Fremont Street,1,7
80,SandRidge Energy Inc.,Diena,652-706-5958,wzwBLqYZkf,74385 Iowa Court,1,5
81,Sirius XM Holdings Inc.,Pippy,157-919-7488,q1DGR96feO2,099 Graedel Center,4,5
82,Airgain Inc.,Paolina,489-515-2218,kgeT879,807 Schiller Place,4,7
83,Mosaic Company (The),Fernandina,738-353-0024,ZdaJ5pkZIm,03741 Pepper Wood Avenue,2,3
84,FlexShares Credit-Scored US Long Corporate Bond Index Fund,Lezlie,269-578-5772,DsFSwen,4 Barnett Terrace,1,7
85,Everi Holdings Inc.,Helsa,363-171-0291,0oX4Iuc8aVax,1 Miller Hill,4,5
86,Nordson Corporation,Karla,150-171-3804,9awhwt0,7712 Gale Street,1,1
87,Mitek Systems Inc.,Dominique,454-829-7078,WtJpE9EP9,57 Chive Court,2,7
88,Bridgeline Digital Inc.,Franky,291-856-1691,DPA7grqIc,61 Garrison Road,2,2
89,American Homes 4 Rent,Rodie,443-787-0089,58k0K9di3Ff0,0 Welch Junction,4,1
90,Scudder Multi-Market Income Trust,Mehetabel,375-836-3807,SKOSK3,624 Menomonie Place,3,7
91,Inogen Inc,Adorne,130-266-7208,krvR4c,13895 Victoria Terrace,3,5
92,Sierra Wireless Inc.,Melessa,467-723-8947,AhEcXOhi7Elh,91197 Maryland Terrace,3,7
93,AtriCure Inc.,Anders,805-329-2533,nhaRBqmQKJW0,802 Hayes Pass,4,4
94,First Trust High Income Long Short Fund,Dill,289-339-7215,7lJ7t7Z9ANHn,05 Di Loreto Lane,1,3
95,Scorpio Tankers Inc.,Roderic,289-244-2840,XREbxLA,55059 Buhler Center,3,6
96,T-Mobile US Inc.,Chuck,391-460-5343,9RtG19,68829 Schlimgen Plaza,1,3
97,ITUS Corporation,Crissy,103-179-6723,ZEWAr1U,0 Granby Trail,5,3
98,Blackrock Floating Rate Income Strategies Fund Inc,Hugo,541-422-5904,MhO683,5477 Hanson Drive,2,6
99,The Trade Desk Inc.,Helyn,766-783-6891,UYVgFv2bf,06 Miller Drive,2,1
100,Lion Biotechnologies Inc.,Gerrie,198-644-2191,PdBPGRmoUE,18196 Barnett Alley,1,7
101,Chunghwa Telecom Co. Ltd.,Julian,546-135-3709,MRGLdS02Td,376 Bobwhite Crossing,1,4
102,GP Investments Acquisition Corp.,Cristin,346-929-7009,se6Wmd5jn,3478 Tomscot Center,1,6
103,California Water  Service Group Holding,Marney,951-787-0124,Mc7nwtR,1653 Helena Road,4,2
104,Mistras Group Inc,Ellette,539-927-8325,eRhJY1q3,1914 Hagan Junction,4,2
105,Frequency Electronics Inc.,Diego,520-663-0640,t6l6tWbL19,197 Ohio Avenue,2,3
106,Westamerica Bancorporation,Margarethe,704-373-7030,4tCI3kAK,777 Bluejay Center,3,6
107,CBL & Associates Properties Inc.,Francyne,466-858-3163,3OkXpsM,963 Sutteridge Park,5,7
108,PIMCO Municipal Income Fund,Korella,148-895-2312,uR2IPkLo8l,6 David Point,1,1
109,Cemex S.A.B. de C.V.,Jena,256-333-9299,xyNm9moJpBiM,7086 Holy Cross Circle,3,4
110,Tsakos Energy Navigation Ltd,Matthias,767-598-5697,XF8cQuLBy,76538 Bellgrove Junction,1,5
111,Chanticleer Holdings Inc.,Beatrisa,304-466-7774,uXQ8n52,158 Arrowood Park,1,4
112,Atlantica Yield plc,Winnie,568-840-6687,ymMWhW,72555 Hallows Drive,4,3
113,Celsius Holdings Inc.,Karil,243-746-6263,qeY17ergxJj,97770 Bartelt Parkway,1,6
114,NASDAQ TEST STOCK,Amalie,838-824-7973,PLEm8vzVy53,28825 Kinsman Point,5,5
115,LM Funding America Inc.,Lizzy,902-304-9749,bYGg7FZ,70 Village Green Parkway,5,1
116,MFS Special Value Trust,Petronilla,898-230-7074,7seeVV2,1079 Forest Dale Junction,4,5
117,Dynegy Inc.,Cesaro,444-458-7982,yAeqbCMTm,624 Twin Pines Park,4,5
118,Neenah Paper Inc.,Calhoun,651-551-4098,ogCD10SzB,4 Arapahoe Terrace,3,5
119,Reliv' International Inc.,Hi,965-720-7952,pBR6LoEh3KRB,7 Lakewood Gardens Way,1,3
120,CABCO Series 2004-101 Trust,Agosto,152-379-8697,WecXIuoz4A,2 Pawling Park,3,1
121,Urban One Inc. ,Willette,320-586-9442,OC384F,53 Dahle Point,3,5
122,First Trust NASDAQ Clean Edge Smart Grid Infrastructure Index ,Avigdor,457-337-9847,SbIQ9nqqA,3056 Pennsylvania Trail,1,3
123,VictoryShares US EQ Income Enhanced Volatility Wtd ETF,Kennie,523-385-7379,DI2sSpRmyH2,96 Holy Cross Center,1,4
124,Virtus Global Multi-Sector Income Fund,Ambrosi,218-684-0259,WLRRG44,28 Grayhawk Parkway,3,6
125,Microbot Medical Inc. ,Melicent,488-289-2374,To2iyMW,8 Northview Circle,5,4
126,BlackRock Utility and Infrastructure Trust,Rriocard,933-522-9382,AuYPrtB,30 Cardinal Junction,3,5
127,New America High Income Fund Inc. (The),Blondelle,488-455-6709,sgFasiyw,38123 Mitchell Place,5,4
128,Lifeway Foods Inc.,Cassandry,156-232-3312,quzyFE5zIU,725 Ruskin Center,5,7
129,MutualFirst Financial Inc.,Maryanne,564-189-7940,AfpL2v54,1 Tony Road,2,1
130,UMH Properties Inc.,Kurt,293-443-6255,iAhkVwtgM,9 Paget Court,5,5
131,EnerNOC Inc.,Bordie,734-435-4156,CPgjQDoe,0327 La Follette Park,5,4
132,ChinaCache International Holdings Ltd.,Kim,639-938-6152,i6yJdKO,30986 Ryan Park,2,1
133,Arena Pharmaceuticals Inc.,Lena,218-564-1577,wW4UzaRlLJa,22 Loomis Center,2,5
134,DTE Energy Company,Thom,607-747-2575,BflwFiSMHvd,2 Spaight Park,1,3
135,Coach Inc.,Lia,614-556-5505,YyIsgLW7M,220 La Follette Circle,4,3
136,LaSalle Hotel Properties,Karlis,886-935-2374,GfAf8QBw,0645 Mesta Pass,2,7
137,Arch Capital Group Ltd.,Ardelia,101-100-5534,Agq5ClQJw9u,4 Alpine Place,4,1
138,Chunghwa Telecom Co. Ltd.,Sander,133-388-6475,SKEil3hq,25921 Summer Ridge Alley,2,2
139,Comcast Corporation,Veronika,833-790-3479,qdn85CEI,98 Vera Point,3,1
140,EXCO Resources NL,Opalina,674-668-8790,C9n4KOam,810 Evergreen Center,3,4
141,Enel Generacion Chile S.A.,Hynda,953-455-1852,0DrekYq6v,248 Dorton Street,1,7
142,Alcentra Capital Corp.,Elyn,634-139-4610,JdmYTCHcCkGm,99472 Old Gate Lane,3,3
143,Performant Financial Corporation,Lucas,745-185-0136,1mWVG6iUsMy,9626 Sycamore Crossing,5,2
144,Syros Pharmaceuticals Inc.,Frederich,997-397-8930,tjbKljvHl5,1 Sutherland Park,3,4
145,Shineco Inc.,Hermy,865-800-6990,PCqIlU7KDJn,26046 Artisan Junction,2,7
146,WisdomTree Middle East Dividend Fund,Kathi,756-845-8499,rkv6fP,83 Montana Plaza,5,1
147,Carpenter Technology Corporation,Sullivan,317-102-5966,K1RuGC7sRE,78 Crowley Place,4,2
148,WisdomTree Japan Hedged SmallCap Equity Fund,Aidan,866-589-0483,uvNu8HFAsbJY,7 Luster Alley,1,7
149,Evolent Health Inc,Vania,695-594-3406,ee7OEzC,622 Del Mar Park,1,3
150,Cabot Corporation,Goldi,504-868-4982,9Tuiu8TCbWd9,1715 Johnson Way,3,2
151,First Trust Switzerland AlphaDEX Fund,Peggy,595-236-7408,R5AeKnb,53046 Glacier Hill Parkway,2,3
152,DTE Energy Company,Sella,573-722-3786,6ivYDUja4m,5 Rusk Junction,3,7
153,Beneficial Bancorp Inc.,Abeu,854-216-9615,v1mnBmf2g,1788 Stone Corner Hill,3,4
154,Liberty Interactive Corporation,Lief,356-633-1065,SqekJBDFkX6J,81106 Arizona Crossing,1,6
155,Corbus Pharmaceuticals Holdings Inc.,Torrie,847-328-5406,9pill0,64 Helena Court,5,3
156,Employers Holdings Inc,Hillier,431-688-0293,cRLlLsoz1,7215 Dryden Avenue,1,1
157,Care Capital Properties Inc.,Lanny,620-184-8002,SxUg3rJlUX8w,94 Lawn Point,1,7
158,ZAIS Group Holdings Inc.,Staci,699-491-7501,OpUOR8,8804 Ridgeview Street,4,3
159,Ocular Therapeutix Inc.,Ronnica,758-552-2920,9YzupW1I,321 Mendota Place,4,4
160,Pretium Resources Inc.,Sharona,849-665-8556,aHOiIm,880 Ludington Center,1,1
161,Green Bancorp Inc.,Aidan,718-863-8890,SxWb1Rt9xFi,2 Harper Plaza,2,2
162,RH,Monica,690-778-7690,jtseBImyHx,8438 Mariners Cove Plaza,1,4
163,Navios Maritime Holdings Inc.,Iosep,596-356-4724,tDSK6hya2djM,77170 Sunfield Terrace,1,1
164,First Trust International IPO ETF,Micky,347-787-1644,g0UtYt,15837 Washington Lane,2,5
165,Differential Brands Group Inc.,Krystyna,335-538-4836,TUqJ5Qgf,44 Bartelt Street,3,4
166,Acasti Pharma Inc.,Finn,909-354-4632,RiDNsEE,8 Green Center,2,1
167,Depomed Inc.,Reuven,482-125-5506,dJA3Hf3W,7710 Miller Junction,5,2
168,trivago N.V.,Lorettalorna,924-548-7690,2PPKvsy5Ao,8 Pearson Pass,3,5
169,J P Morgan Chase & Co,Blinni,356-677-6000,EQ7GahbR,478 Boyd Terrace,5,6
170,Hill International Inc.,Samara,415-531-7343,4V5X9QtE9ex,2 Center Court,5,3
171,Eastern Company (The),Georgine,371-881-6416,81u0Fzo8jVX,19 Reinke Point,5,1
172,Mackinac Financial Corporation,Milton,419-962-6742,FoWa1sJP,17250 Corscot Plaza,5,2
173,Hunter Maritime Acquisition Corp.,Bar,624-168-3795,5HpK7rbKis3,7 Pearson Terrace,5,5
174,Kingstone Companies Inc,Shae,548-645-6275,BrsoLjV,620 Sutherland Pass,2,7
175,AtriCure Inc.,Timmy,203-763-4809,MJ1AZD6MwF6,655 Bunting Trail,2,7
176,Xcel Brands Inc,Berne,966-178-8808,Se8u7vxgKK,0 Basil Lane,3,6
177,Bank of the Ozarks,Rex,894-803-1557,K4HTHx,5 Holy Cross Hill,5,5
178,Exa Corporation,Phillida,925-723-4326,NgvUZx9i,7358 Mifflin Lane,1,4
179,German American Bancorp Inc.,Fan,303-944-4855,dpmT58U,5 Green Center,1,6
180,BLACKROCK INTERNATIONAL LTD.,Candi,940-724-4272,V82e23,3 Larry Way,1,4
181,Medley Capital Corporation,Ruben,123-701-5262,W0fG2v34,7 Vidon Pass,2,5
182,Lianluo Smart Limited,Guillaume,714-138-8787,s46gNiw826q,9 Maryland Terrace,4,1
183,Sutherland Asset Management Corporation,Boonie,804-693-6847,QKT9NG6vGb,9 8th Way,1,3
184,Guidance Software Inc.,Amandy,521-782-3753,fgCqj6z,9752 Bultman Circle,5,3
185,Biglari Holdings Inc.,Katrinka,745-707-9978,jFwbdF6,519 Eastwood Way,5,6
186,Alliqua BioMedical Inc.,Lazaro,386-129-6304,T4hY443yq,88 8th Plaza,1,6
187,Ulta Beauty Inc.,Starlin,844-662-5691,TuJ9v9,7663 Maple Circle,5,1
188,Sino-Global Shipping America Ltd.,Gardner,621-549-1258,trRIWNwn3t,651 Charing Cross Place,4,1
189,B. Riley Financial Inc.,Bealle,223-987-5256,qoq5FYy,09 Cordelia Street,2,6
190,Check-Cap Ltd.,Bridgette,686-466-4112,Z1qQSM,5 Talisman Parkway,3,1
191,Digital Realty Trust Inc.,Christian,523-856-0164,BHr4PFPHI4,6 Canary Center,4,4
192,Global Partner Acquisition Corp.,Itch,479-663-2616,VSIbLHOm,43 Kedzie Way,5,1
193,Uni-Pixel Inc.,Halette,533-503-1171,nSSqSIaPHX,4800 Sugar Hill,2,1
194,W.R. Berkley Corporation,Ciro,988-962-2407,vJ6r7QFrOkbp,67644 Merry Plaza,3,4
195,Colony NorthStar Inc.,Jacobo,718-986-0811,sx03Mlwcp,3 Coolidge Crossing,1,5
196,Stone Energy Corporation,Zonda,440-670-1044,hcSrmYCpRBb,158 Schurz Place,1,7
197,Tucows Inc.,Burt,216-215-0120,RAyDlB,24706 Russell Lane,5,4
198,Dynegy Inc.,Tanney,815-488-9498,lY15RvDNM4,49615 Westridge Hill,3,5
199,Great Elm Capital Group Inc. ,Missie,484-171-7589,WansMv0,5 Ridgeway Lane,3,4
200,Scripps Networks Interactive Inc,Alvinia,472-996-1498,1iQW4PHtuIv,1006 South Lane,2,7
201,Laureate Education Inc.,Cecilius,736-995-1228,w8NMNZitirrz,2 Garrison Court,4,1
202,Mississippi Power Company,Benjy,505-390-2471,TnaDaaLACW,2965 Gina Pass,2,4
203,Caleres Inc.,Traci,264-680-8964,WQOkBRDjBYQk,8 Bartillon Court,1,1
204,Gardner Denver Holdings Inc.,Deena,612-624-9544,GUXI4oDD6,93092 Jackson Terrace,2,5
205,Guaranty Bancorp,Fionnula,174-220-9716,EHHkoY4,48583 Golf Course Point,3,6
206,G1 Therapeutics Inc.,Penrod,120-851-9956,4siBGPmtn,834 Warrior Park,4,2
207,Trinity Industries Inc.,Estevan,702-731-3685,Y962R8NMk,145 Parkside Alley,5,1
208,Alliance MMA Inc.,Killian,214-915-8525,8elM9zf,358 Ridgeway Road,3,6
209,EMCORE Corporation,Natalie,613-740-3028,xtqI0gK,9137 Crowley Way,3,3
210,Lumos Networks Corp.,Celle,205-368-4681,5uSn42wG,9427 Dunning Pass,3,3
211,FairPoint Communications Inc.,Orelle,782-756-0276,SZ7iQLfjHV,8768 Reinke Road,4,7
212,Just Energy Group Inc.,Adrienne,213-485-8385,VdJYDt40CKVW,9187 Nova Drive,3,7
213,WisdomTree Emerging Markets Consumer Growth Fund,Loralie,813-975-0280,nnYcqDcZqj,58326 Kropf Avenue,2,7
214,Ion Geophysical Corporation,Kiah,171-105-8617,zUq8ZHDR,23874 Buhler Lane,1,4
215,Morningstar Inc.,Burt,326-895-4106,EZoNyEAqQaH,945 Service Trail,2,2
216,Penns Woods Bancorp Inc.,Chadwick,313-558-5062,xRZeZgb0sdXD,1499 Meadow Vale Court,1,1
217,M/I Homes Inc.,Marcelle,998-325-9304,8zuUvVrbQS,440 Kenwood Road,4,3
218,Symantec Corporation,Marcelline,541-629-2451,umBjzHKWs,7 Novick Crossing,4,5
219,La-Z-Boy Incorporated,Dixie,635-156-0949,sQfHurRql0,025 Alpine Crossing,5,7
220,First American Corporation (The),Sunny,114-572-5593,Tram1T,97414 Grayhawk Road,5,4
221,Bellerophon Therapeutics Inc.,Mile,792-189-5901,JkXgcHx8r,24634 Weeping Birch Court,5,1
222,Barington/Hilco Acquisition Corp.,Ty,623-370-5060,JnFx2R,5 Eagan Crossing,2,7
223,AECOM,Shurwood,520-266-6184,v9E4jJM2gJN,0500 Schurz Lane,3,5
224,Finjan Holdings Inc.,Jaclin,713-886-2092,ATuDFau,7 1st Plaza,3,1
225,WAVE Life Sciences Ltd.,Emmott,997-112-3082,gzK00XXIGs,3 South Circle,3,3
226,Arlington Asset Investment Corp,Arabella,715-754-8903,w6clYcPU7,58 Walton Circle,3,5
227,Trinity Industries Inc.,Isa,338-679-0446,RWJokwwLiR,10319 Southridge Point,5,2
228,United States Lime & Minerals Inc.,Artus,396-251-1147,dfXLPlL,7 Division Parkway,2,1
229,Azul S.A.,Kathryn,682-715-8740,NQWy7Yzl4,9475 Meadow Ridge Drive,3,7
230,AAR Corp.,Dan,802-373-1783,2NfLDT23A,61 Sloan Lane,5,4
231,First Foundation Inc.,Clim,454-276-1622,4ZKlcq,90 Shasta Lane,1,4
232,Tabula Rasa HealthCare Inc.,Way,542-820-2272,XZx3mE6hN2,56 Fairfield Park,1,6
233,Nuveen Municipal Credit Income Fund,Ernest,767-776-1256,9ydjEdIBPbF,37 Calypso Way,2,7
234,TCF Financial Corporation,Jamie,311-627-3489,lUywjXCM,611 Cottonwood Point,3,2
235,Vantage Energy Acquisition Corp.,Gottfried,580-865-9000,eZ5hBlvkM,8142 Armistice Court,1,3
236,Thor Industries Inc.,Jeffrey,919-276-8775,xHDWsPxB1C5,2438 Forest Run Pass,2,5
237,Colony NorthStar Inc.,Aharon,733-795-7736,sBJvShptdt,4 Manufacturers Street,4,3
238,Nuveen Minnesota Quality Municipal Income Fund,Riva,101-680-9145,WDUeHxvZLat,1126 Luster Way,2,6
239,Mesa Laboratories Inc.,Alessandra,846-446-1757,nCTZSq7Ddi,9932 Waxwing Road,3,7
240,Marriot Vacations Worldwide Corporation,Harcourt,914-487-0777,xcs38D87,25871 Southridge Alley,5,7
241,America's Car-Mart Inc.,Beckie,403-685-1987,7y5IvQ4Dto,4 Boyd Alley,1,5
242,First Trust Nasdaq Oil & Gas ETF,Olimpia,794-898-2169,S3KL0yW0x,9238 Pankratz Avenue,2,4
243,PowerShares FTSE International Low Beta Equal Weight Portfolio,Kara,254-292-0995,MpzqET8x,7 Artisan Park,4,6
244,Flotek Industries Inc.,Hazel,225-526-5662,yxMUJQ,2 Mandrake Avenue,4,3
245,Embraer-Empresa Brasileira de Aeronautica,Jamil,215-844-1527,hKIOVc,153 Southridge Circle,5,2
246,Northeast Bancorp,Kaia,788-835-5759,qpM7QnLrJ,7 Daystar Lane,4,1
247,Toyota Motor Corp Ltd Ord,Siffre,965-852-6653,oemzD4,00334 Schmedeman Pass,1,3
248,Great Elm Capital Corp.,Adriaens,406-990-3064,Yxoa3U,91693 Hoard Pass,2,2
249,Antares Pharma Inc.,Corrianne,750-574-6236,1C8PkFbLJHD4,3919 Dexter Terrace,3,3
250,Nutraceutical International Corporation,Daron,959-662-6090,0mktdfPHHe,1 Maple Wood Parkway,3,3
251,Holly Energy Partners L.P.,Mathe,532-781-7989,XL3PnKlu9,61 Kingsford Place,4,6
252,Facebook Inc.,Clerissa,736-438-9535,3VY9ymxOpLx,48015 Manley Center,4,7
253,Sportsman's Warehouse Holdings Inc.,Salmon,226-571-1785,ReKV4Z,78876 Mifflin Junction,1,5
254,PB Bancorp Inc.,Brockie,996-415-1934,iXpWrL,63 Vahlen Way,1,4
255,Miller Industries Inc.,Mile,606-489-3246,WWB030HL,59534 Cottonwood Circle,4,1
256,NASDAQ TEST STOCK,Esme,688-526-0112,U4REDdfM,7701 Corben Circle,3,2
257,RLI Corp.,Hildagarde,539-483-8925,btfmSJqO,2573 Roth Trail,4,1
258,iShares MSCI ACWI ex US Index Fund,Bearnard,339-936-8954,G3Bw34PuvK,8924 Manitowish Crossing,1,2
259,FIRST REPUBLIC BANK,Barbra,561-972-2094,dxG0VihmM,70 Kennedy Road,2,5
260,Dreyfus High Yield Strategies Fund,Ed,492-524-8277,UUz3QPU4hT,16 Namekagon Place,2,4
261,51job Inc.,Hanni,858-774-6657,KeGXIc71ifK,5468 Mcguire Crossing,3,2
262,Sierra Wireless Inc.,Dewain,780-636-6066,82EFnfat,39 Valley Edge Lane,1,2
263,Electronic Arts Inc.,Phip,265-451-1724,KWqXPaRSlk,46 New Castle Crossing,1,7
264,Community Trust Bancorp Inc.,Sonja,341-309-1607,wB3jPLQK,0 Buhler Court,3,5
265,Merus Labs International Inc.,Harriott,710-988-7838,MIydnQE,80 Melby Trail,1,7
266,China TechFaith Wireless Communication Technology Limited,Lowrance,917-534-7471,Rgmt9LW77,71176 Morrow Street,3,7
267,The Obesity ETF,Larisa,993-740-1159,JwokgCzyz6U,9219 Birchwood Park,4,7
268,Easterly Acquisition Corp.,Frasquito,517-722-4970,sCNojz1R8wWl,2412 Drewry Avenue,2,2
269,Blackrock MuniYield Quality Fund III Inc.,Jasmina,777-296-0885,6KLvw70jD,7879 Mayer Junction,2,4
270,Synthetic Fixed-Income Securities Inc.,Richmound,206-894-1023,5eYaT3,60832 Colorado Parkway,2,1
